timestamp_s;timestamp_origin;sd_block_id;cyc_charged;is_rt;soc_nom;age_type;age_temp;age_soc;age_chg_rate;age_dischg_rate;age_profile;t_avg_degC;r_ref_10ms_mOhm;r_ref_1s_mOhm;uptime_ticks;seq_nr;v_raw_V;i_raw_A
1665656237.000;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;0;3.3431;0.0000
1665656237.001;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;1;3.3571;0.8170
1665656237.003;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;2;3.3614;0.9890
1665656237.010;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;3;3.3637;1.0000
1665656237.030;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;4;3.3659;1.0020
1665656237.100;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;5;3.3681;0.9980
1665656237.300;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;6;3.3699;0.9990
1665656238.000;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;7;3.3722;1.0050
1665656240.000;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;8;3.3757;1.0000
1665656247.000;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;9;3.3847;1.0040
1665656247.001;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;10;3.3627;-0.3160
1665656247.003;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;11;3.3486;-0.9390
1665656247.010;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;12;3.3437;-0.9970
1665656247.030;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;13;3.3390;-0.9990
1665656247.100;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;14;3.3344;-1.0000
1665656247.300;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;15;3.3312;-0.9990
1665656248.000;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;16;3.3278;-0.9990
1665656250.000;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;17;3.3219;-1.0000
1665656257.000;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;18;3.3102;-0.9970
1665656257.001;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;19;3.3210;-0.3400
1665656257.003;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;20;3.3275;-0.0420
1665656257.010;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;21;3.3311;0.0010
1665656257.030;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;22;3.3334;0.0000
1665656257.100;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;23;3.3360;-0.0020
1665656257.300;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;24;3.3376;-0.0030
1665656258.000;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;25;3.3391;0.0010
1665656260.000;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;26;3.3403;0.0010
1665656267.000;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;27;3.3416;0.0000
1665656267.001;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;28;3.3529;0.6880
1665656267.003;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;29;3.3598;0.9820
1665656267.010;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;30;3.3622;1.0080
1665656267.030;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;31;3.3645;1.0050
1665656267.100;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;32;3.3675;1.0030
1665656267.300;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;33;3.3689;1.0020
1665656268.000;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;34;3.3707;1.0030
1665656270.000;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;35;3.3743;1.0000
1665656277.000;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;36;3.3832;0.9970
1665656297.000;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;37;3.4012;1.0000
1665656327.000;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;38;3.4200;0.9930
1665656327.001;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;39;3.3981;-0.3170
1665656327.003;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;40;3.3849;-0.9370
1665656327.010;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;41;3.3793;-0.9960
1665656327.030;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;42;3.3747;-0.9970
1665656327.100;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;43;3.3713;-1.0000
1665656327.300;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;44;3.3687;-1.0020
1665656328.000;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;45;3.3650;-0.9930
1665656330.000;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;46;3.3594;-0.9950
1665656337.000;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;47;3.3460;-0.9950
1665656357.000;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;48;3.3226;-1.0030
1665656387.000;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;49;3.2980;-0.9960
1665656387.001;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;50;3.3092;-0.3400
1665656387.003;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;51;3.3151;-0.0420
1665656387.010;1;82025984;1;1;10;1;0;100;0.00;0.00;0;24.92;20.583;25.112;183907;52;3.3186;-0.0030
